"Reference";"Value";"DK#"
"R25,R26";"5k1";"311-5.1KARCT-ND"
"R10";"15k";"A126341CT-ND"
"R9,R16,R17";"4k7";"4988-NRC10J472TRFCT-ND"
"R8,R11,R12,R13,R14,R15,R18,R19,R20,R21,R22,R23,R24,R28";"10k";"RR12P10.0KDCT-ND"
"R7,R27";"600R";"P680ACT-ND"
"R6";"1k";"4988-NRC10J102TRFCT-ND"
"R1,R2,R3,R4,R5";"300R";"738-RMCF0805JT300RCT-ND"
"U7";"BQ21040DBV";"296-47315-1-ND"
"H1,H2,H3,H4";"MountingHole";""
"D6,D10";"BLUE";"C566D-BFE-CU0W0351-ND"
"D1,D2,D3,D4,D5";"LED";"160-1130-ND"
"JP1,JP2";"Jumper_2_Open";""
"L1";"4u7";"587-3639-1-ND"
"F1";"500mA";"13-SMD1206B050TF/15CT-ND"
"D11,D12,D13,D14,D15,D16";"D_TVS";"DESD5V0S1BA-7DICT-ND"
"D7,D8,D9";"CDBW140-G";"641-1458-1-ND"
"J16";"USB_C_Receptacle_PowerOnly_6P";"609-10164359-00011LFCT-ND"
"J15";"EXT Charge Port";""
"J14";"Through Hole";""
"J1";"ESP Current SNS";""
"J13";"Pack Thermister";""
"J2";"JST";""
"C2";"100u";"565-EMZA350ARA101MF80GCT-ND"
"C3";"100u";"490-10530-1-ND"
"C7";"1u";"1276-1066-1-ND"
"C6";"2u2";"445-1420-1-ND"
"C5";"22u";"1276-1100-1-ND"
"C1,C4";"10u";"1276-1100-1-ND"
"SW1,SW2,SW3,SW4,SW5";"SW_Push";"2223-TS02-66-50-BK-160-LCR-D-ND"
"U1";"ESP32-PICO-DEVKITM-2";""
"SW11,SW12";"SW_SPDT";"2223-SLW-121586-5A-D-ND"
"SW6,SW7,SW8,SW9,SW10";"SW_Push";""
"U8";"MIC2288YD5-TR";"576-1729-1-ND"
"U9";"BQ27427YZFR";"296-BQ27427YZFRCT-ND"
"J12";"IN5";"CP-3502MJ-ND"
"J11";"IN4";"CP-3502MJ-ND"
"J10";"IN3";"CP-3502MJ-ND"
"J9";"IN2";"CP-3502MJ-ND"
"J8";"IN1";"CP-3502MJ-ND"
"J7";"OUT5";"CP-3502MJ-ND"
"J6";"OUT4";"CP-3502MJ-ND"
"J5";"OUT3";"CP-3502MJ-ND"
"J4";"OUT2";"CP-3502MJ-ND"
"J3";"OUT1";"CP-3502MJ-ND"
"U2,U3,U4,U5,U6";"TLP241A(TP1,F";"TLP241A(TP1FCT-ND"
